Date,time0_1,time1_2,time2_3,time3_4,time4_5,time5_6,time6_7,time7_8,time8_9,time9_10,time10_11,time11_12,time12_13,time13_14,time14_15,time14_16
,05:00～05:59,08:00～08:59,09:00～09:59,10:00～10:59,11:00～11:59,12:00～12:59,13:00～13:59,14:00～14:59,15:00～15:59,16:00～16:59,17:00～17:59,18:00～18:59,19:00～19:59,20:00～20:59,21:00～21:59,22:00～22:59
2017/12/1,0,24,42,52,58,84,62,66,48,68,76,90,76,72,8,0
2017/12/2,0,28,44,72,100,126,96,100,110,94,90,82,78,46,20,4
2017/12/3,0,14,46,64,100,92,98,112,122,136,90,64,54,42,10,0
2017/12/4,0,18,46,52,66,70,78,76,70,48,62,84,72,38,30,0
2017/12/5,0,16,56,64,64,80,58,72,60,68,66,60,78,40,8,0
2017/12/6,0,22,44,44,76,96,82,80,78,70,82,92,66,56,0,0
2017/12/7,0,16,42,44,58,82,66,58,62,76,70,80,62,42,8,0
2017/12/8,0,24,32,42,70,96,84,56,68,64,60,48,42,28,6,0
2017/12/9,0,32,38,62,120,84,90,142,108,114,96,92,54,46,46,2
2017/12/10,0,32,58,60,90,90,106,108,148,116,74,70,74,40,14,0
2017/12/11,0,12,26,54,58,64,50,50,90,74,66,62,76,42,10,0
2017/12/12,0,16,32,52,86,62,50,30,72,52,80,70,84,68,12,0
2017/12/13,0,16,26,56,74,78,82,68,66,80,54,72,56,38,8,0
2017/12/14,0,22,42,28,54,84,42,60,70,52,74,76,56,60,22,0
2017/12/15,0,20,38,42,64,72,72,54,76,70,74,62,68,70,46,0
2017/12/16,0,26,62,72,98,114,90,100,92,92,100,84,76,46,14,4
2017/12/17,0,22,62,62,90,94,116,110,96,108,106,60,62,32,10,0
2017/12/18,0,32,26,50,52,82,62,76,58,48,66,56,92,62,44,0
2017/12/19,0,20,50,46,68,68,78,50,60,88,54,54,64,46,0,0
2017/12/20,0,22,42,30,96,100,60,42,76,72,54,72,58,48,10,0
2017/12/21,0,22,32,54,58,52,62,62,48,80,56,48,70,64,14,0
2017/12/22,0,18,42,56,78,78,76,74,84,74,78,88,62,64,22,0
2017/12/23,0,42,46,64,110,118,128,112,112,152,116,62,54,48,14,0
2017/12/24,0,26,58,88,80,110,112,130,150,156,106,68,52,50,10,0
2017/12/25,0,24,24,42,74,62,68,62,74,60,88,76,70,56,14,0
2017/12/26,0,20,42,60,86,62,58,40,68,52,62,68,78,42,8,0
2017/12/27,0,24,36,50,50,70,78,72,56,62,54,62,64,44,24,2
2017/12/28,0,26,38,50,52,76,60,92,76,86,48,58,74,32,0,0
2017/12/29,0,16,40,50,82,96,96,92,74,84,66,70,48,22,4,0
2017/12/30,0,14,32,70,102,92,88,82,104,102,84,62,46,36,18,0
2017/12/31,0,18,28,54,78,96,76,78,94,90,64,0,0,0,0,0
2018/1/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/1/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/1/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/1/4,0,16,28,64,74,98,74,68,122,102,22,0,0,0,0,0
2018/1/5,0,28,24,54,94,96,100,102,58,88,72,50,68,64,12,0
